date,state,district,pincode,age_0_5,age_5_17,age_18_greater
31-12-2025,Karnataka,Dharwad,581201,2,0,0
31-12-2025,Karnataka,Dharwad,581212,3,0,0
31-12-2025,Karnataka,Gadag,582101,4,2,0
31-12-2025,Karnataka,Gadag,582205,14,0,0
31-12-2025,Karnataka,Gadag,582207,9,3,0
31-12-2025,Karnataka,Gadag *,582101,1,0,0
31-12-2025,Karnataka,Gulbarga,585104,13,2,0
31-12-2025,Karnataka,Gulbarga,585228,5,2,0
31-12-2025,Karnataka,Gulbarga,585313,3,0,0
31-12-2025,Karnataka,Gulbarga,585318,2,1,0
31-12-2025,Karnataka,Gulbarga,585320,1,4,0
31-12-2025,Karnataka,Hasan,573125,1,0,0
31-12-2025,Karnataka,Hasan,573126,0,2,0
31-12-2025,Karnataka,Hasan,573135,1,1,0
31-12-2025,Karnataka,Hasan,573212,1,0,0
31-12-2025,Karnataka,Hassan,573102,3,0,0
31-12-2025,Karnataka,Hassan,573118,1,0,0
31-12-2025,Karnataka,Hassan,573122,1,0,0
31-12-2025,Karnataka,Hassan,573127,2,0,0
31-12-2025,Karnataka,Hassan,573134,0,3,0
31-12-2025,Karnataka,Hassan,573136,2,0,0
31-12-2025,Karnataka,Hassan,573202,2,0,0
31-12-2025,Karnataka,Hassan,573225,0,1,0
31-12-2025,Karnataka,Haveri,581101,1,0,0
31-12-2025,Karnataka,Haveri,581102,2,0,0
31-12-2025,Karnataka,Haveri,581104,10,1,0
31-12-2025,Karnataka,Haveri,581106,5,0,0
31-12-2025,Karnataka,Haveri,581108,1,1,0
31-12-2025,Karnataka,Haveri,581110,5,0,0
31-12-2025,Karnataka,Haveri,581119,2,1,0
31-12-2025,Karnataka,Haveri,581208,4,0,0
31-12-2025,Karnataka,Kalaburagi,585101,1,1,0
31-12-2025,Karnataka,Kalaburagi,585105,2,0,0
31-12-2025,Karnataka,Kalaburagi,585210,1,0,0
31-12-2025,Karnataka,Kalaburagi,585217,1,1,0
31-12-2025,Karnataka,Kalaburagi,585222,3,2,0
31-12-2025,Karnataka,Kalaburagi,585236,0,2,0
31-12-2025,Karnataka,Kalaburagi,585301,0,1,0
31-12-2025,Karnataka,Kalaburagi,585305,1,0,0
31-12-2025,Karnataka,Kalaburagi,585306,1,0,0
31-12-2025,Karnataka,Kalaburagi,585311,3,0,0
31-12-2025,Karnataka,Kodagu,571218,5,0,0
31-12-2025,Karnataka,Kodagu,571253,2,0,0
31-12-2025,Karnataka,Kolar,563121,1,0,0
31-12-2025,Karnataka,Kolar,563129,4,0,0
31-12-2025,Karnataka,Kolar,563131,12,2,0
31-12-2025,Karnataka,Kolar,563132,4,0,0
31-12-2025,Karnataka,Kolar,563135,2,0,0
31-12-2025,Karnataka,Kolar,563161,1,0,0
31-12-2025,Karnataka,Kolar,563162,2,0,0
31-12-2025,Karnataka,Koppal,583226,1,2,0
31-12-2025,Karnataka,Koppal,583229,9,1,0
31-12-2025,Karnataka,Koppal,583234,3,1,0
31-12-2025,Karnataka,Koppal,583236,4,2,0
31-12-2025,Karnataka,Koppal,583277,10,6,0
31-12-2025,Karnataka,Koppal,583279,2,2,0
31-12-2025,Karnataka,Mandya,571401,3,2,0
31-12-2025,Karnataka,Mandya,571405,2,0,0
31-12-2025,Karnataka,Mandya,571428,3,0,0
31-12-2025,Karnataka,Mandya,571434,3,0,0
31-12-2025,Karnataka,Mandya,571435,2,0,0
31-12-2025,Karnataka,Mandya,571607,0,1,0
31-12-2025,Karnataka,Mysore,570007,2,0,0
31-12-2025,Karnataka,Mysore,570010,2,1,0
31-12-2025,Karnataka,Mysore,571107,0,2,0
31-12-2025,Karnataka,Mysore,571124,9,1,0
31-12-2025,Karnataka,Mysore,571617,2,1,0
31-12-2025,Karnataka,Mysuru,570011,3,0,0
31-12-2025,Karnataka,Mysuru,570028,1,0,0
31-12-2025,Karnataka,Mysuru,571103,10,0,0
31-12-2025,Karnataka,Mysuru,571114,1,0,0
31-12-2025,Karnataka,Mysuru,571189,3,0,0
31-12-2025,Karnataka,Raichur,584118,0,2,0
31-12-2025,Karnataka,Raichur,584120,9,4,1
31-12-2025,Karnataka,Raichur,584128,22,9,0
31-12-2025,Karnataka,Raichur,584129,11,6,0
31-12-2025,Karnataka,Raichur,584135,4,1,0
31-12-2025,Karnataka,Ramanagar,560060,1,0,0
31-12-2025,Karnataka,Ramanagar,562109,5,0,0
31-12-2025,Karnataka,Ramanagar,562119,2,0,0
31-12-2025,Karnataka,Shimoga,577401,3,0,0
31-12-2025,Karnataka,Shimoga,577412,1,1,0
31-12-2025,Karnataka,Shimoga,577428,1,0,0
31-12-2025,Karnataka,Shivamogga,577201,1,1,0
31-12-2025,Karnataka,Shivamogga,577216,1,0,0
31-12-2025,Karnataka,Shivamogga,577411,1,0,0
31-12-2025,Karnataka,Shivamogga,577412,1,1,0
31-12-2025,Karnataka,Shivamogga,577423,2,0,0
31-12-2025,Karnataka,Tumakuru,572102,3,0,0
31-12-2025,Karnataka,Tumakuru,572104,2,0,0
31-12-2025,Karnataka,Tumakuru,572119,0,1,0
31-12-2025,Karnataka,Tumakuru,572121,1,0,0
31-12-2025,Karnataka,Tumakuru,572132,4,1,0
31-12-2025,Karnataka,Tumakuru,572219,1,0,0
31-12-2025,Karnataka,Tumkur,572104,2,0,0
31-12-2025,Karnataka,Tumkur,572112,1,0,0
31-12-2025,Karnataka,Tumkur,572117,1,0,0
31-12-2025,Karnataka,Tumkur,572124,1,1,0
31-12-2025,Karnataka,Tumkur,572140,0,1,0
31-12-2025,Karnataka,Tumkur,572221,1,0,0
31-12-2025,Karnataka,Tumkur,572224,1,0,0
31-12-2025,Karnataka,Udupi,574244,2,0,0
31-12-2025,Karnataka,Udupi,576113,1,0,0
31-12-2025,Karnataka,Udupi,576120,1,0,0
31-12-2025,Karnataka,Udupi,576211,1,0,0
31-12-2025,Karnataka,Udupi,576214,2,0,0
31-12-2025,Karnataka,Udupi,576225,1,0,0
31-12-2025,Karnataka,Uttara Kannada,581318,2,1,0
31-12-2025,Karnataka,Uttara Kannada,581324,2,0,0
31-12-2025,Karnataka,Uttara Kannada,581332,1,0,0
31-12-2025,Karnataka,Vijayanagara,583134,2,1,0
31-12-2025,Karnataka,Vijayanagara,583137,2,0,0
31-12-2025,Karnataka,Vijayanagara,583212,2,0,0
31-12-2025,Karnataka,Vijayanagara,583213,2,1,0
31-12-2025,Karnataka,Vijayanagara,583224,1,0,0
31-12-2025,Karnataka,Vijayapura,586121,1,0,0
31-12-2025,Karnataka,Vijayapura,586127,1,1,0
31-12-2025,Karnataka,Vijayapura,586130,2,1,0
31-12-2025,Karnataka,Vijayapura,586203,3,0,0
31-12-2025,Karnataka,Vijayapura,586206,1,1,0
31-12-2025,Karnataka,Vijayapura,586215,10,0,0
31-12-2025,Karnataka,Vijayapura,586245,1,0,0
31-12-2025,Karnataka,Yadgir,585202,12,9,2
31-12-2025,Karnataka,Yadgir,585219,2,0,0
31-12-2025,Karnataka,Yadgir,585223,3,6,0
31-12-2025,Karnataka,Yadgir,585224,0,2,0
31-12-2025,Karnataka,Yadgir,585237,4,0,0
31-12-2025,Karnataka,Yadgir,585287,3,1,0
31-12-2025,Karnataka,Yadgir,585291,1,1,0
31-12-2025,Karnataka,Yadgir,585321,5,2,0
31-12-2025,Karnataka,yadgir,585323,0,1,0
31-12-2025,Kerala,Alappuzha,688526,0,2,0
31-12-2025,Kerala,Alappuzha,688561,1,2,0
31-12-2025,Kerala,Alappuzha,688570,0,1,0
31-12-2025,Kerala,Alappuzha,689520,0,1,0
31-12-2025,Kerala,Alappuzha,690102,0,1,0
31-12-2025,Kerala,Alappuzha,690105,0,1,0
31-12-2025,Kerala,Alappuzha,690501,2,0,0
31-12-2025,Kerala,Alappuzha,690502,0,2,0
31-12-2025,Kerala,Alappuzha,690527,0,1,0
31-12-2025,Kerala,Alappuzha,690533,1,2,0
31-12-2025,Kerala,Alappuzha,690535,1,0,0
31-12-2025,Kerala,Alappuzha,690572,1,4,0
31-12-2025,Kerala,Ernakulam,682013,0,1,0
31-12-2025,Kerala,Ernakulam,682017,0,2,0
31-12-2025,Kerala,Ernakulam,682021,1,2,0
31-12-2025,Kerala,Ernakulam,682033,0,1,0
31-12-2025,Kerala,Ernakulam,682038,0,1,0
31-12-2025,Kerala,Ernakulam,683108,0,2,0
31-12-2025,Kerala,Ernakulam,683515,1,0,0
31-12-2025,Kerala,Ernakulam,683544,1,0,0
31-12-2025,Kerala,Ernakulam,683545,1,1,0
31-12-2025,Kerala,Ernakulam,683562,1,1,0
31-12-2025,Kerala,Ernakulam,683579,0,3,0
31-12-2025,Kerala,Ernakulam,683589,0,1,0
31-12-2025,Kerala,Ernakulam,686669,0,1,0
31-12-2025,Kerala,Ernakulam,686681,1,1,0
31-12-2025,Kerala,Ernakulam,686693,0,1,0
31-12-2025,Kerala,Idukki,685512,0,1,0
31-12-2025,Kerala,Idukki,685583,1,0,0
31-12-2025,Kerala,Idukki,685585,1,1,0
31-12-2025,Kerala,Idukki,685591,0,2,0
31-12-2025,Kerala,Idukki,685595,0,1,0
31-12-2025,Kerala,Kannur,670002,0,2,0
31-12-2025,Kerala,Kannur,670003,0,1,0
31-12-2025,Kerala,Kannur,670004,0,1,0
31-12-2025,Kerala,Kannur,670010,2,0,0
31-12-2025,Kerala,Kannur,670011,1,0,0
31-12-2025,Kerala,Kannur,670103,0,2,0
31-12-2025,Kerala,Kannur,670302,0,2,0
31-12-2025,Kerala,Kannur,670305,0,2,0
31-12-2025,Kerala,Kannur,670306,1,0,0
31-12-2025,Kerala,Kannur,670308,0,2,0
31-12-2025,Kerala,Kannur,670334,1,0,0
31-12-2025,Kerala,Kannur,670604,0,4,0
31-12-2025,Kerala,Kannur,670611,0,1,0
31-12-2025,Kerala,Kannur,670612,1,0,0
31-12-2025,Kerala,Kannur,670641,1,1,0
31-12-2025,Kerala,Kannur,670643,4,3,0
31-12-2025,Kerala,Kannur,670650,5,2,0
31-12-2025,Kerala,Kannur,670661,1,0,0
31-12-2025,Kerala,Kannur,670691,0,1,0
31-12-2025,Kerala,Kannur,670703,0,4,0
31-12-2025,Kerala,Kasaragod,671122,1,1,0
31-12-2025,Kerala,Kasaragod,671310,3,0,0
31-12-2025,Kerala,Kasaragod,671322,2,3,0
31-12-2025,Kerala,Kasaragod,671323,5,6,0
31-12-2025,Kerala,Kasaragod,671326,1,0,0
31-12-2025,Kerala,Kasaragod,671531,3,3,0
31-12-2025,Kerala,Kasaragod,671533,0,1,0
31-12-2025,Kerala,Kasaragod,671542,3,2,0
31-12-2025,Kerala,Kasaragod,671551,1,1,0
31-12-2025,Kerala,Kasaragod,671552,0,4,0
31-12-2025,Kerala,Kollam,689696,0,1,0
31-12-2025,Kerala,Kollam,690523,0,4,0
31-12-2025,Kerala,Kollam,690528,2,0,0
31-12-2025,Kerala,Kollam,690540,0,1,0
31-12-2025,Kerala,Kollam,690542,2,4,0
31-12-2025,Kerala,Kollam,691004,0,2,0
31-12-2025,Kerala,Kollam,691011,2,1,0
31-12-2025,Kerala,Kollam,691014,0,1,0
31-12-2025,Kerala,Kollam,691307,0,1,0
31-12-2025,Kerala,Kollam,691510,1,0,0
31-12-2025,Kerala,Kollam,691534,3,0,0
31-12-2025,Kerala,Kollam,691537,0,2,0
31-12-2025,Kerala,Kollam,691574,1,0,0
31-12-2025,Kerala,Kollam,691601,2,1,0
31-12-2025,Kerala,Kottayam,686004,0,1,0
31-12-2025,Kerala,Kottayam,686008,0,1,0
31-12-2025,Kerala,Kottayam,686012,1,0,0
31-12-2025,Kerala,Kottayam,686101,0,2,0
31-12-2025,Kerala,Kottayam,686102,0,5,0
31-12-2025,Kerala,Kottayam,686106,0,1,0
31-12-2025,Kerala,Kottayam,686141,0,1,0
31-12-2025,Kerala,Kottayam,686501,1,0,0
31-12-2025,Kerala,Kottayam,686507,0,2,0
31-12-2025,Kerala,Kottayam,686519,1,0,0
31-12-2025,Kerala,Kottayam,686538,0,3,0
31-12-2025,Kerala,Kottayam,686539,2,0,0
31-12-2025,Kerala,Kottayam,686544,1,0,0
31-12-2025,Kerala,Kottayam,686548,0,2,0
31-12-2025,Kerala,Kottayam,686561,1,0,0
31-12-2025,Kerala,Kottayam,686611,1,0,0
31-12-2025,Kerala,Kozhikode,673010,1,1,0
31-12-2025,Kerala,Kozhikode,673012,2,0,0
31-12-2025,Kerala,Kozhikode,673102,0,1,0
31-12-2025,Kerala,Kozhikode,673104,2,3,0
31-12-2025,Kerala,Kozhikode,673303,3,0,0
31-12-2025,Kerala,Kozhikode,673309,0,1,0
31-12-2025,Kerala,Kozhikode,673317,1,0,0
31-12-2025,Kerala,Kozhikode,673502,0,1,0
31-12-2025,Kerala,Kozhikode,673503,0,1,0
31-12-2025,Kerala,Kozhikode,673505,0,1,0
31-12-2025,Kerala,Kozhikode,673517,1,2,0
31-12-2025,Kerala,Kozhikode,673522,0,1,0
31-12-2025,Kerala,Kozhikode,673582,1,2,0
31-12-2025,Kerala,Kozhikode,673613,0,3,0
31-12-2025,Kerala,Malappuram,676103,6,4,0
31-12-2025,Kerala,Malappuram,676122,4,3,0
31-12-2025,Kerala,Malappuram,676123,12,10,0
31-12-2025,Kerala,Malappuram,676304,4,6,0
31-12-2025,Kerala,Malappuram,676501,3,2,0
31-12-2025,Kerala,Malappuram,676503,6,6,0
31-12-2025,Kerala,Malappuram,676505,0,1,0
31-12-2025,Kerala,Malappuram,676523,2,1,0
31-12-2025,Kerala,Malappuram,676528,4,5,0
31-12-2025,Kerala,Malappuram,676541,2,1,0
31-12-2025,Kerala,Malappuram,676552,3,13,0
31-12-2025,Kerala,Malappuram,679323,1,2,0
31-12-2025,Kerala,Malappuram,679324,3,1,0
31-12-2025,Kerala,Malappuram,679330,2,1,0
31-12-2025,Kerala,Malappuram,679575,0,2,0
31-12-2025,Kerala,Malappuram,679579,2,2,0
31-12-2025,Kerala,Malappuram,679581,0,2,0
31-12-2025,Kerala,Malappuram,679582,1,2,0
31-12-2025,Kerala,Malappuram,679583,0,1,0
31-12-2025,Kerala,Malappuram,679586,0,3,0
31-12-2025,Kerala,Malappuram,679587,0,2,0
31-12-2025,Kerala,Palakkad,678001,4,3,0
31-12-2025,Kerala,Palakkad,678002,0,1,0
31-12-2025,Kerala,Palakkad,678004,3,1,0
31-12-2025,Kerala,Palakkad,678543,3,3,0
31-12-2025,Kerala,Palakkad,678544,1,0,0
31-12-2025,Kerala,Palakkad,678581,0,1,0
31-12-2025,Kerala,Palakkad,678583,6,10,0
31-12-2025,Kerala,Palakkad,678613,1,0,0
31-12-2025,Kerala,Palakkad,678701,1,0,0
31-12-2025,Kerala,Palakkad,679307,0,3,0
31-12-2025,Kerala,Palakkad,679308,1,0,0
31-12-2025,Kerala,Palakkad,679309,1,0,0
31-12-2025,Kerala,Palakkad,679511,2,1,0
31-12-2025,Kerala,Palakkad,679513,3,2,0
31-12-2025,Kerala,Pathanamthitta,689514,1,0,0
31-12-2025,Kerala,Pathanamthitta,689549,2,0,0
31-12-2025,Kerala,Pathanamthitta,689597,0,1,0
31-12-2025,Kerala,Thiruvananthapuram,695003,0,2,0
31-12-2025,Kerala,Thiruvananthapuram,695005,1,3,0
31-12-2025,Kerala,Thiruvananthapuram,695006,1,1,1
31-12-2025,Kerala,Thiruvananthapuram,695010,0,1,0
31-12-2025,Kerala,Thiruvananthapuram,695017,3,1,0
31-12-2025,Kerala,Thiruvananthapuram,695020,5,2,0
31-12-2025,Kerala,Thiruvananthapuram,695021,2,1,0
31-12-2025,Kerala,Thiruvananthapuram,695028,1,1,0
31-12-2025,Kerala,Thiruvananthapuram,695029,0,1,0
31-12-2025,Kerala,Thiruvananthapuram,695143,1,0,0
31-12-2025,Kerala,Thiruvananthapuram,695145,2,0,0
31-12-2025,Kerala,Thiruvananthapuram,695301,0,1,0
31-12-2025,Kerala,Thiruvananthapuram,695304,1,2,0
31-12-2025,Kerala,Thiruvananthapuram,695305,1,1,0
31-12-2025,Kerala,Thiruvananthapuram,695502,1,1,0
31-12-2025,Kerala,Thiruvananthapuram,695568,1,1,0
31-12-2025,Kerala,Thiruvananthapuram,695571,1,1,0
31-12-2025,Kerala,Thiruvananthapuram,695605,3,1,0
31-12-2025,Kerala,Thiruvananthapuram,695615,3,1,0
31-12-2025,Kerala,Thrissur,679561,1,0,0
31-12-2025,Kerala,Thrissur,679564,1,1,0
31-12-2025,Kerala,Thrissur,680007,1,1,0
31-12-2025,Kerala,Thrissur,680008,1,2,0
31-12-2025,Kerala,Thrissur,680125,1,1,0
31-12-2025,Kerala,Thrissur,680303,0,1,0
31-12-2025,Kerala,Thrissur,680305,1,1,0
31-12-2025,Kerala,Thrissur,680307,0,1,0
31-12-2025,Kerala,Thrissur,680308,3,0,0
31-12-2025,Kerala,Thrissur,680506,1,2,0
31-12-2025,Kerala,Thrissur,680524,0,2,0
31-12-2025,Kerala,Thrissur,680542,0,1,0
31-12-2025,Kerala,Thrissur,680581,0,1,0
31-12-2025,Kerala,Thrissur,680589,1,1,0
31-12-2025,Kerala,Thrissur,680604,1,1,0
31-12-2025,Kerala,Thrissur,680612,1,1,0
31-12-2025,Kerala,Thrissur,680614,1,1,0
31-12-2025,Kerala,Thrissur,680616,0,1,0
31-12-2025,Kerala,Thrissur,680654,2,0,0
31-12-2025,Kerala,Thrissur,680663,0,5,0
31-12-2025,Kerala,Thrissur,680691,0,1,0
31-12-2025,Kerala,Thrissur,680702,2,1,0
31-12-2025,Kerala,Thrissur,680721,0,2,0
31-12-2025,Kerala,Wayanad,670731,2,0,0
31-12-2025,Kerala,Wayanad,673575,2,0,0
31-12-2025,Kerala,Wayanad,673591,1,0,0
31-12-2025,Kerala,Wayanad,673592,3,4,0
31-12-2025,Kerala,Wayanad,673593,0,1,0
31-12-2025,Ladakh,Leh,194101,1,0,0
31-12-2025,Lakshadweep,Lakshadweep,682559,1,0,0
31-12-2025,Madhya Pradesh,Agar Malwa,465447,15,7,0
31-12-2025,Madhya Pradesh,Agar Malwa,465550,6,8,0
31-12-2025,Madhya Pradesh,Alirajpur,457882,7,30,0
31-12-2025,Madhya Pradesh,Anuppur,484330,3,2,0
31-12-2025,Madhya Pradesh,Anuppur,484334,12,2,0
31-12-2025,Madhya Pradesh,Ashok Nagar,473885,0,1,0
31-12-2025,Madhya Pradesh,Balaghat,481105,17,9,0
31-12-2025,Madhya Pradesh,Balaghat,481226,16,1,0
31-12-2025,Madhya Pradesh,Balaghat,481337,7,0,0
31-12-2025,Madhya Pradesh,Balaghat,481662,1,0,0
31-12-2025,Madhya Pradesh,Barwani,451449,10,10,0
31-12-2025,Madhya Pradesh,Betul,460440,10,5,0
31-12-2025,Madhya Pradesh,Betul,460551,22,0,0
31-12-2025,Madhya Pradesh,Betul,460553,3,0,0
31-12-2025,Madhya Pradesh,Betul,460666,2,0,0
31-12-2025,Madhya Pradesh,Betul,461441,1,0,0
31-12-2025,Madhya Pradesh,Bhind,477111,9,5,0
31-12-2025,Madhya Pradesh,Bhind,477222,12,11,0
31-12-2025,Madhya Pradesh,Bhind,477447,13,12,0
31-12-2025,Madhya Pradesh,Bhind,477449,2,3,0
31-12-2025,Madhya Pradesh,Bhind,477566,2,0,0
31-12-2025,Madhya Pradesh,Bhopal,462016,2,2,0
31-12-2025,Madhya Pradesh,Bhopal,462021,6,1,0
31-12-2025,Madhya Pradesh,Bhopal,462101,20,5,0
31-12-2025,Madhya Pradesh,Bhopal,463106,14,5,0
31-12-2025,Madhya Pradesh,Burhanpur,450332,5,5,0
31-12-2025,Madhya Pradesh,Chhatarpur,471301,14,8,0
31-12-2025,Madhya Pradesh,Chhatarpur,471501,66,12,0
31-12-2025,Madhya Pradesh,Chhatarpur,471515,36,16,0
31-12-2025,Madhya Pradesh,Chhatarpur,471625,21,12,0
31-12-2025,Madhya Pradesh,Chhindwara,480334,15,1,0
31-12-2025,Madhya Pradesh,Chhindwara,480338,4,0,0
31-12-2025,Madhya Pradesh,Chhindwara,480447,0,1,0
31-12-2025,Madhya Pradesh,Damoh,470771,11,2,0
31-12-2025,Madhya Pradesh,Damoh,470881,6,1,0
31-12-2025,Madhya Pradesh,Datia,475673,11,11,0
31-12-2025,Madhya Pradesh,Datia,475675,11,16,0
31-12-2025,Madhya Pradesh,Dewas,455001,89,17,0
31-12-2025,Madhya Pradesh,Dewas,455116,14,1,0
31-12-2025,Madhya Pradesh,Dewas,455118,10,2,0
31-12-2025,Madhya Pradesh,Dewas,455223,6,4,1
31-12-2025,Madhya Pradesh,Dhar,454774,2,3,0
31-12-2025,Madhya Pradesh,East Nimar,450001,8,2,0
31-12-2025,Madhya Pradesh,East Nimar,450114,4,4,1
31-12-2025,Madhya Pradesh,East Nimar,450116,4,9,0
31-12-2025,Madhya Pradesh,Guna,473105,19,14,2
31-12-2025,Madhya Pradesh,Guna,473111,1,4,0
31-12-2025,Madhya Pradesh,Guna,473287,21,22,0
31-12-2025,Madhya Pradesh,Guna,473446,2,1,0
31-12-2025,Madhya Pradesh,Gwalior,474001,17,21,1
31-12-2025,Madhya Pradesh,Gwalior,474006,25,39,4
31-12-2025,Madhya Pradesh,Gwalior,474010,7,12,0
31-12-2025,Madhya Pradesh,Hoshangabad,461110,1,0,0
31-12-2025,Madhya Pradesh,Hoshangabad,461111,23,3,0
31-12-2025,Madhya Pradesh,Hoshangabad,461115,1,0,0
31-12-2025,Madhya Pradesh,Hoshangabad,461668,2,0,0
31-12-2025,Madhya Pradesh,Hoshangabad,461990,26,7,0
31-12-2025,Madhya Pradesh,Indore,452003,7,1,0
31-12-2025,Madhya Pradesh,Indore,452005,17,3,0
31-12-2025,Madhya Pradesh,Indore,452010,24,9,0
31-12-2025,Madhya Pradesh,Indore,453112,8,3,0
31-12-2025,Madhya Pradesh,Indore,453220,18,3,0
31-12-2025,Madhya Pradesh,Jabalpur,482001,38,5,0
31-12-2025,Madhya Pradesh,Jabalpur,482003,38,13,0
31-12-2025,Madhya Pradesh,Jabalpur,482004,13,5,0
31-12-2025,Madhya Pradesh,Jabalpur,482021,5,1,0
31-12-2025,Madhya Pradesh,Jabalpur,482056,9,0,0
31-12-2025,Madhya Pradesh,Jabalpur,483220,7,1,0
31-12-2025,Madhya Pradesh,Jhabua,457661,32,65,3
31-12-2025,Madhya Pradesh,Jhabua,457773,12,6,0
31-12-2025,Madhya Pradesh,Jhabua,457990,0,4,0
31-12-2025,Madhya Pradesh,Katni,483331,9,6,0
31-12-2025,Madhya Pradesh,Katni,483442,10,4,0
31-12-2025,Madhya Pradesh,Katni,483501,81,60,3
31-12-2025,Madhya Pradesh,Khandwa,450337,2,1,0
31-12-2025,Madhya Pradesh,Khargone,451113,17,10,0
31-12-2025,Madhya Pradesh,Khargone,451220,5,4,0
31-12-2025,Madhya Pradesh,Khargone,451228,14,6,0
31-12-2025,Madhya Pradesh,Khargone,451441,14,20,0
31-12-2025,Madhya Pradesh,Khargone,451660,3,3,0
31-12-2025,Madhya Pradesh,Mandla,481663,3,0,0
31-12-2025,Madhya Pradesh,Mandla,481665,10,0,0
31-12-2025,Madhya Pradesh,Mandla,481668,9,0,0
31-12-2025,Madhya Pradesh,Mandla,481776,7,0,0
31-12-2025,Madhya Pradesh,Mandla,481996,12,2,0
31-12-2025,Madhya Pradesh,Mandsaur,458002,9,6,0
31-12-2025,Madhya Pradesh,Mandsaur,458339,2,1,0
31-12-2025,Madhya Pradesh,Mandsaur,458556,20,3,0
31-12-2025,Madhya Pradesh,Mandsaur,458775,29,10,0
31-12-2025,Madhya Pradesh,Mauganj,486123,0,1,0
31-12-2025,Madhya Pradesh,Morena,476111,22,24,2
31-12-2025,Madhya Pradesh,Morena,476134,3,4,0
31-12-2025,Madhya Pradesh,Morena,476554,12,10,0
31-12-2025,Madhya Pradesh,Narmadapuram,461775,3,3,0
