state,year_month,enrol_age_5_17,enrol_age_18_plus,demo_age_5_17,demo_age_18_plus,bio_age_5_17,bio_age_18_plus,demo_ratio_5_17,demo_ratio_18_plus,bio_ratio_5_17,bio_ratio_18_plus,total_updates,total_enrolment,update_intensity,update_intensity_3m_avg,update_decay_signal,update_consistency
ANDAMAN AND NICOBAR ISLANDS,2025-06,0,0,10.0,91.0,191.0,46.0,0.0,0.0,0.0,0.0,338.0,0,0.0,151.33333333333334,-151.33333333333334,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-07,0,0,21.0,112.0,86.0,28.0,0.0,0.0,0.0,0.0,247.0,0,0.0,0.0,0.0,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-08,0,0,11.0,119.0,213.0,91.0,0.0,0.0,0.0,0.0,434.0,0,0.0,0.0,0.0,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-09,3,0,22.0,156.0,280.0,79.0,7.333333333333333,0.0,93.33333333333333,0.0,537.0,3,179.0,59.666666666666664,119.33333333333334,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-10,2,0,9.0,157.0,243.0,77.0,4.5,0.0,121.5,0.0,486.0,2,243.0,140.66666666666666,102.33333333333334,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-11,0,0,23.0,213.0,235.0,99.0,0.0,0.0,0.0,0.0,570.0,0,0.0,140.66666666666666,-140.66666666666666,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,2025-12,0,0,20.0,200.0,234.0,83.0,0.0,0.0,0.0,0.0,537.0,0,0.0,81.0,-81.0,1829.8003400984098
ANDAMAN AND NICOBAR ISLANDS,NaT,17,0,230.0,2014.0,2554.0,933.0,13.529411764705882,0.0,150.23529411764707,0.0,5731.0,17,337.11764705882354,112.37254901960785,224.7450980392157,1829.8003400984098
ANDHRA PRADESH,2025-01,1179,337,125870.0,875509.0,1540426.0,875186.0,106.75996607294317,2597.949554896142,1306.5530110262935,2596.9910979228484,3416991.0,1516,2253.951846965699,2253.951846965699,0.0,565.1750949189718
ANDHRA PRADESH,2025-02,639,29,12140.0,54356.0,26358.0,25337.0,18.998435054773083,1874.344827586207,41.248826291079816,873.6896551724138,118191.0,668,176.93263473053892,1215.4422408481191,-1038.5096061175802,565.1750949189718
ANDHRA PRADESH,2025-03,396,37,9256.0,54183.0,23606.0,26786.0,23.373737373737374,1464.4054054054054,59.611111111111114,723.9459459459459,113831.0,433,262.8891454965358,897.9245423975913,-635.0353969010555,565.1750949189718
ANDHRA PRADESH,2025-04,225,21,8352.0,54277.0,34636.0,34768.0,37.12,2584.6190476190477,153.93777777777777,1655.6190476190477,132033.0,246,536.719512195122,325.51376414073223,211.20574805438974,565.1750949189718
ANDHRA PRADESH,2025-05,332,28,6951.0,29226.0,21113.0,18368.0,20.936746987951807,1043.7857142857142,63.5933734939759,656.0,75658.0,360,210.1611111111111,336.58992293425626,-126.42881182314517,565.1750949189718
ANDHRA PRADESH,2025-06,411,47,6465.0,38254.0,25279.0,23844.0,15.72992700729927,813.9148936170212,61.50608272506083,507.3191489361702,93842.0,458,204.8951965065502,317.2586066042611,-112.3634100977109,565.1750949189718
ANDHRA PRADESH,2025-07,165,53,8915.0,34536.0,16676.0,11205.0,54.03030303030303,651.622641509434,101.06666666666666,211.41509433962264,71332.0,218,327.2110091743119,247.42243893065776,79.78857024365416,565.1750949189718
ANDHRA PRADESH,2025-08,454,16,6568.0,36249.0,22176.0,22328.0,14.466960352422907,2265.5625,48.84581497797357,1395.5,87321.0,470,185.78936170212765,239.29852246099657,-53.509160758868916,565.1750949189718
ANDHRA PRADESH,2025-09,359,22,5887.0,33871.0,16833.0,22778.0,16.398328690807798,1539.590909090909,46.88857938718663,1035.3636363636363,79369.0,381,208.31758530183728,240.4393187260923,-32.12173342425501,565.1750949189718
ANDHRA PRADESH,2025-10,386,75,4606.0,36348.0,21019.0,24270.0,11.932642487046632,484.64,54.45336787564767,323.6,86243.0,461,187.07809110629069,193.72834603675187,-6.6502549304611875,565.1750949189718
ANDHRA PRADESH,2025-11,390,46,7140.0,47698.0,23271.0,25407.0,18.307692307692307,1036.9130434782608,59.66923076923077,552.3260869565217,103516.0,436,237.42201834862385,210.93923158558394,26.48278676303991,565.1750949189718
ANDHRA PRADESH,2025-12,397,21,6506.0,46936.0,24719.0,29638.0,16.387909319899244,2235.0476190476193,62.26448362720403,1411.3333333333333,107799.0,418,257.89234449760767,227.46415131750737,30.428193180100294,565.1750949189718
ANDHRA PRADESH,NaT,8413,763,112492.0,632991.0,445355.0,333251.0,13.371211220729823,829.608125819135,52.936526803756095,436.7640891218873,1524089.0,9176,166.09513949433304,220.46983411352153,-54.37469461918849,565.1750949189718
ARUNACHAL PRADESH,2025-01,416,43,1109.0,7881.0,19513.0,21007.0,2.6658653846153846,183.27906976744185,46.90625,488.5348837209302,49510.0,459,107.86492374727669,107.86492374727669,0.0,21.92164768758894
ARUNACHAL PRADESH,2025-02,54,0,255.0,1281.0,999.0,325.0,4.722222222222222,0.0,18.5,0.0,2860.0,54,52.96296296296296,80.41394335511983,-27.450980392156865,21.92164768758894
ARUNACHAL PRADESH,2025-03,60,2,272.0,1270.0,1305.0,450.0,4.533333333333333,635.0,21.75,225.0,3297.0,62,53.17741935483871,71.33510202169279,-18.15768266685408,21.92164768758894
ARUNACHAL PRADESH,2025-04,53,0,212.0,1119.0,1573.0,474.0,4.0,0.0,29.67924528301887,0.0,3378.0,53,63.735849056603776,56.62541045813515,7.110438598468626,21.92164768758894
ARUNACHAL PRADESH,2025-05,53,0,194.0,912.0,936.0,309.0,3.660377358490566,0.0,17.660377358490567,0.0,2351.0,53,44.35849056603774,53.75725299249341,-9.398762426455676,21.92164768758894
ARUNACHAL PRADESH,2025-06,75,3,148.0,621.0,849.0,236.0,1.9733333333333334,207.0,11.32,78.66666666666667,1854.0,78,23.76923076923077,43.95452346395743,-20.18529269472666,21.92164768758894
ARUNACHAL PRADESH,2025-07,62,1,120.0,569.0,1160.0,288.0,1.935483870967742,569.0,18.70967741935484,288.0,2137.0,63,33.92063492063492,34.01611875196781,-0.09548383133289207,21.92164768758894
ARUNACHAL PRADESH,2025-08,90,0,223.0,1028.0,1017.0,381.0,2.477777777777778,0.0,11.3,0.0,2649.0,90,29.433333333333334,29.04106634106634,0.39226699226699324,21.92164768758894
ARUNACHAL PRADESH,2025-09,67,0,224.0,957.0,828.0,359.0,3.343283582089552,0.0,12.35820895522388,0.0,2368.0,67,35.343283582089555,32.8990839453526,2.444199636736954,21.92164768758894
ARUNACHAL PRADESH,2025-10,52,2,220.0,941.0,1108.0,423.0,4.230769230769231,470.5,21.307692307692307,211.5,2692.0,54,49.851851851851855,38.20948958909158,11.642362262760273,21.92164768758894
ARUNACHAL PRADESH,2025-11,55,1,171.0,1010.0,1153.0,406.0,3.109090909090909,1010.0,20.963636363636365,406.0,2740.0,56,48.92857142857143,44.70790228750428,4.220669141067148,21.92164768758894
ARUNACHAL PRADESH,2025-12,67,3,220.0,979.0,1338.0,382.0,3.283582089552239,326.3333333333333,19.970149253731343,127.33333333333333,2919.0,70,41.7,46.826807760141094,-5.126807760141091,21.92164768758894
ARUNACHAL PRADESH,NaT,1132,96,2415.0,12092.0,11115.0,4460.0,2.13339222614841,125.95833333333333,9.818904593639576,46.458333333333336,30082.0,1228,24.496742671009773,38.37510469986041,-13.878362028850635,21.92164768758894
ASSAM,2025-01,31225,13789,25109.0,261444.0,319234.0,180583.0,0.8041313050440352,18.96033069838277,10.223666933546838,13.09616360867358,786370.0,45014,17.46945394766073,17.46945394766073,0.0,12.382122046565788
ASSAM,2025-02,1643,101,2816.0,26811.0,11806.0,5700.0,1.7139379184418746,265.45544554455444,7.185636031649421,56.43564356435643,47133.0,1744,27.02580275229358,22.247628349977155,4.778174402316424,12.382122046565788
ASSAM,2025-03,934,232,2855.0,25926.0,11397.0,6710.0,3.056745182012848,111.75,12.202355460385439,28.92241379310345,46888.0,1166,40.21269296740995,28.235983222454752,11.976709744955198,12.382122046565788
ASSAM,2025-04,794,41,2951.0,30645.0,15290.0,8610.0,3.716624685138539,747.439024390244,19.256926952141058,210.0,57496.0,835,68.85748502994012,45.36532691654789,23.49215811339223,12.382122046565788
ASSAM,2025-05,1264,65,2416.0,24591.0,10399.0,6319.0,1.9113924050632911,378.32307692307694,8.227056962025317,97.21538461538462,43725.0,1329,32.90067720090293,47.32361839941766,-14.422941198514728,12.382122046565788
ASSAM,2025-06,1116,367,2521.0,22206.0,11813.0,6470.0,2.2589605734767026,60.50681198910082,10.585125448028673,17.629427792915532,43010.0,1483,29.002022926500338,43.58672838578113,-14.58470545928079,12.382122046565788
ASSAM,2025-07,443,269,1209.0,13638.0,9496.0,5449.0,2.729119638826185,50.698884758364315,21.435665914221218,20.256505576208177,29792.0,712,41.842696629213485,34.58179891887225,7.260897710341233,12.382122046565788
ASSAM,2025-08,1445,112,3361.0,34273.0,13393.0,7227.0,2.3259515570934255,306.00892857142856,9.268512110726643,64.52678571428571,58254.0,1557,37.41425818882466,36.086325914846164,1.3279322739784973,12.382122046565788
ASSAM,2025-09,1081,52,2130.0,20070.0,12765.0,7089.0,1.9703977798334875,385.96153846153845,11.808510638297872,136.32692307692307,42054.0,1133,37.11738746690203,38.79144742831339,-1.6740599614113592,12.382122046565788
ASSAM,2025-10,1171,210,2624.0,28753.0,13071.0,6829.0,2.2408198121263876,136.91904761904763,11.162254483347565,32.51904761904762,51277.0,1381,37.130340333091965,37.22066199627289,-0.09032166318092294,12.382122046565788
ASSAM,2025-11,1103,206,1956.0,21526.0,12505.0,7477.0,1.773345421577516,104.49514563106796,11.337262012692657,36.29611650485437,43464.0,1309,33.203972498090145,35.817233432694714,-2.6132609346045683,12.382122046565788
ASSAM,2025-12,977,523,2005.0,21200.0,11047.0,6446.0,2.052200614124872,40.53537284894838,11.307062436028659,12.325047801147228,40698.0,1500,27.132,32.48877094372737,-5.356770943727366,12.382122046565788
ASSAM,NaT,22889,6910,32527.0,397015.0,144408.0,131189.0,1.4210756258464765,57.45513748191028,6.3090567521516885,18.985383502170766,705139.0,29799,23.663176616664988,27.99971637158505,-4.336539754920061,12.382122046565788
BIHAR,2025-01,104798,7107,109257.0,1144095.0,1547373.0,1726934.0,1.0425485219183572,160.98142676234698,14.76529132235348,242.99057267482763,4527659.0,111905,40.45984540458424,40.45984540458424,0.0,12.01872748501679
BIHAR,2025-02,9089,70,12570.0,144102.0,30661.0,46011.0,1.382990427989878,2058.6,3.3734184178677524,657.3,233344.0,9159,25.477017141609345,32.9684312730968,-7.491414131487453,12.01872748501679
BIHAR,2025-03,5851,116,12362.0,139607.0,30292.0,49036.0,2.112801230558879,1203.5086206896551,5.177234660741753,422.7241379310345,231297.0,5967,38.76269482151835,34.89985245590398,3.8628423656143696,12.01872748501679
BIHAR,2025-04,3606,44,12776.0,172158.0,24795.0,39950.0,3.542983915696062,3912.681818181818,6.876039933444259,907.9545454545455,249679.0,3650,68.40520547945205,44.21497248085992,24.19023299859213,12.01872748501679
BIHAR,2025-05,6569,103,8725.0,124947.0,17133.0,28072.0,1.3282082508753235,1213.0776699029127,2.6081595372202773,272.54368932038835,178877.0,6672,26.81010191846523,44.65933407314521,-17.84923215467998,12.01872748501679
BIHAR,2025-06,7384,144,10695.0,138528.0,34227.0,53586.0,1.4484019501625136,962.0,4.635292524377031,372.125,237036.0,7528,31.487247608926673,42.234185002281315,-10.746937393354642,12.01872748501679
BIHAR,2025-07,3027,71,6535.0,73211.0,17384.0,28464.0,2.1589032044928973,1031.1408450704225,5.7429798480343575,400.90140845070425,125594.0,3098,40.54034861200775,32.945899379799876,7.594449232207872,12.01872748501679
BIHAR,2025-08,7905,129,15719.0,203835.0,21674.0,32157.0,1.9884882985452246,1580.1162790697674,2.741808981657179,249.27906976744185,273385.0,8034,34.02850385860095,35.352033359845116,-1.3235295012441668,12.01872748501679
BIHAR,2025-09,7161,228,10352.0,137646.0,35837.0,53618.0,1.4456081552855746,603.7105263157895,5.00446864962994,235.16666666666666,237453.0,7389,32.13601299228583,35.5682884876315,-3.432275495345671,12.01872748501679
BIHAR,2025-10,7134,113,10695.0,152297.0,30000.0,49146.0,1.4991589571068125,1347.7610619469026,4.205214465937763,434.92035398230087,242138.0,7247,33.412170553332416,33.192229134739726,0.21994141859268979,12.01872748501679
BIHAR,2025-11,5989,105,9526.0,118278.0,29362.0,47160.0,1.5905827350141928,1126.4571428571428,4.902654867256637,449.14285714285717,204326.0,6094,33.529044962257956,33.02574283595873,0.503302126299225,12.01872748501679
BIHAR,2025-12,6911,116,10568.0,122626.0,28156.0,42771.0,1.5291564173057444,1057.1206896551723,4.074084792360006,368.7155172413793,204121.0,7027,29.048100185000713,31.99643856686369,-2.9483383818629783,12.01872748501679
BIHAR,NaT,159378,3562,150243.0,1762997.0,361247.0,492541.0,0.942683431841283,494.94581695676584,2.266605177628029,138.27653003930376,2767028.0,162940,16.9818829016816,26.519676016313422,-9.537793114631821,12.01872748501679
CHANDIGARH,2025-01,23,10,10537.0,46477.0,41585.0,17960.0,458.1304347826087,4647.7,1808.0434782608695,1796.0,116559.0,33,3532.090909090909,3532.090909090909,0.0,912.0162262458442
CHANDIGARH,2025-02,2,0,113.0,789.0,481.0,309.0,56.5,0.0,240.5,0.0,1692.0,2,846.0,2189.0454545454545,-1343.0454545454545,912.0162262458442
CHANDIGARH,2025-03,3,0,118.0,980.0,357.0,344.0,39.333333333333336,0.0,119.0,0.0,1799.0,3,599.6666666666666,1659.2525252525254,-1059.5858585858587,912.0162262458442
CHANDIGARH,2025-04,4,1,163.0,1110.0,328.0,330.0,40.75,1110.0,82.0,330.0,1931.0,5,386.2,610.6222222222221,-224.42222222222216,912.0162262458442
CHANDIGARH,2025-05,4,0,71.0,559.0,260.0,298.0,17.75,0.0,65.0,0.0,1188.0,4,297.0,427.6222222222222,-130.6222222222222,912.0162262458442
CHANDIGARH,2025-06,9,0,114.0,853.0,326.0,289.0,12.666666666666666,0.0,36.22222222222222,0.0,1582.0,9,175.77777777777777,286.3259259259259,-110.54814814814813,912.0162262458442
CHANDIGARH,2025-07,0,1,58.0,568.0,199.0,242.0,0.0,568.0,0.0,242.0,1067.0,1,1067.0,513.2592592592592,553.7407407407408,912.0162262458442
CHANDIGARH,2025-08,5,0,143.0,1181.0,187.0,266.0,28.6,0.0,37.4,0.0,1777.0,5,355.4,532.7259259259259,-177.32592592592596,912.0162262458442
CHANDIGARH,2025-09,6,0,116.0,758.0,284.0,359.0,19.333333333333332,0.0,47.333333333333336,0.0,1517.0,6,252.83333333333334,558.4111111111112,-305.5777777777778,912.0162262458442
CHANDIGARH,2025-10,9,5,67.0,688.0,320.0,347.0,7.444444444444445,137.6,35.55555555555556,69.4,1422.0,14,101.57142857142857,236.6015873015873,-135.03015873015875,912.0162262458442
CHANDIGARH,2025-11,8,0,111.0,1049.0,326.0,381.0,13.875,0.0,40.75,0.0,1867.0,8,233.375,195.92658730158732,37.44841269841268,912.0162262458442
CHANDIGARH,2025-12,4,1,104.0,1135.0,294.0,324.0,26.0,1135.0,73.5,324.0,1857.0,5,371.4,235.4488095238095,135.95119047619048,912.0162262458442
CHANDIGARH,NaT,134,18,1418.0,14081.0,4224.0,3862.0,10.582089552238806,782.2777777777778,31.52238805970149,214.55555555555554,23585.0,152,155.16447368421052,253.31315789473683,-98.14868421052631,912.0162262458442
CHHATTISGARH,2025-01,3049,1027,77733.0,931839.0,324951.0,1162349.0,25.494588389635947,907.3407984420643,106.57625450967531,1131.790652385589,2496872.0,4076,612.5789990186457,612.5789990186457,0.0,138.053155530512
CHHATTISGARH,2025-02,770,9,3012.0,29590.0,27072.0,28884.0,3.911688311688312,3287.777777777778,35.15844155844156,3209.3333333333335,88558.0,779,113.6816431322208,363.13032107543324,-249.44867794321243,138.053155530512
CHHATTISGARH,2025-03,293,81,3795.0,32482.0,25566.0,29574.0,12.95221843003413,401.01234567901236,87.25597269624573,365.1111111111111,91417.0,374,244.43048128342247,323.56370781142965,-79.13322652800719,138.053155530512
CHHATTISGARH,2025-04,192,16,3930.0,41379.0,16628.0,21907.0,20.46875,2586.1875,86.60416666666667,1369.1875,83844.0,208,403.09615384615387,253.7360927539324,149.36006109222146,138.053155530512
CHHATTISGARH,2025-05,460,14,2254.0,20262.0,14980.0,15238.0,4.9,1447.2857142857142,32.56521739130435,1088.4285714285713,52734.0,474,111.25316455696202,252.9265998955128,-141.67343533855077,138.053155530512
CHHATTISGARH,2025-06,327,30,3105.0,28220.0,25475.0,26513.0,9.495412844036696,940.6666666666666,77.90519877675841,883.7666666666667,83313.0,357,233.36974789915968,249.23968876742518,-15.869940868265502,138.053155530512
CHHATTISGARH,2025-07,228,3,2046.0,13190.0,15696.0,14716.0,8.973684210526315,4396.666666666667,68.84210526315789,4905.333333333333,45648.0,231,197.6103896103896,180.74443402217045,16.86595558821915,138.053155530512
CHHATTISGARH,2025-08,631,24,5554.0,58111.0,21421.0,21949.0,8.80190174326466,2421.2916666666665,33.94770206022187,914.5416666666666,107035.0,655,163.41221374045801,198.13078375000245,-34.718570009544436,138.053155530512
CHHATTISGARH,2025-09,456,16,3299.0,33180.0,34967.0,32351.0,7.234649122807017,2073.75,76.68201754385964,2021.9375,103797.0,472,219.90889830508473,193.64383388531078,26.26506441977395,138.053155530512
CHHATTISGARH,2025-10,482,41,3892.0,40438.0,27072.0,29122.0,8.074688796680498,986.2926829268292,56.16597510373444,710.2926829268292,100524.0,523,192.20650095602295,191.84253766718857,0.363963288834384,138.053155530512
CHHATTISGARH,2025-11,448,21,3576.0,32935.0,29583.0,30137.0,7.982142857142857,1568.3333333333333,66.03348214285714,1435.095238095238,96231.0,469,205.18336886993603,205.76625604368124,-0.5828871737452062,138.053155530512
CHHATTISGARH,2025-12,490,18,4154.0,44973.0,25435.0,27505.0,8.477551020408164,2498.5,51.90816326530612,1528.0555555555557,102067.0,508,200.91929133858267,199.4363870548472,1.4829042837354791,138.053155530512
CHHATTISGARH,NaT,10943,697,48857.0,533628.0,295707.0,323931.0,4.464680617746505,765.6068866571019,27.022480124280364,464.7503586800574,1202123.0,11640,103.27517182130585,169.79261067660818,-66.51743885530233,138.053155530512
DADRA & NAGAR HAVELI,2025-01,0,0,0.0,2.0,30.0,248.0,0.0,0.0,0.0,0.0,280.0,0,0.0,0.0,0.0,85.97939029532343
DADRA & NAGAR HAVELI,2025-02,0,0,2.0,11.0,2.0,15.0,0.0,0.0,0.0,0.0,30.0,0,0.0,0.0,0.0,85.97939029532343
DADRA & NAGAR HAVELI,2025-03,0,0,3.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,20.0,0,0.0,0.0,0.0,85.97939029532343
DADRA & NAGAR HAVELI,2025-05,1,0,1.0,7.0,3.0,3.0,1.0,0.0,3.0,0.0,14.0,1,14.0,4.666666666666667,9.333333333333332,85.97939029532343
DADRA & NAGAR HAVELI,2025-06,1,0,0.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,9.0,1,9.0,7.666666666666667,1.333333333333333,85.97939029532343
DADRA & NAGAR HAVELI,2025-08,0,0,2.0,13.0,4.0,8.0,0.0,0.0,0.0,0.0,27.0,0,0.0,7.666666666666667,-7.666666666666667,85.97939029532343
DADRA & NAGAR HAVELI,2025-09,0,0,1.0,9.0,1.0,12.0,0.0,0.0,0.0,0.0,23.0,0,0.0,3.0,-3.0,85.97939029532343
DADRA & NAGAR HAVELI,2025-10,0,0,2.0,5.0,2.0,10.0,0.0,0.0,0.0,0.0,19.0,0,0.0,0.0,0.0,85.97939029532343
DADRA & NAGAR HAVELI,2025-11,0,0,0.0,4.0,2.0,12.0,0.0,0.0,0.0,0.0,18.0,0,0.0,0.0,0.0,85.97939029532343
DADRA & NAGAR HAVELI,NaT,1,0,21.0,108.0,17.0,128.0,21.0,0.0,17.0,0.0,274.0,1,274.0,91.33333333333333,182.66666666666669,85.97939029532343
DADRA AND NAGAR HAVELI,2025-01,0,0,226.0,1612.0,6100.0,11083.0,0.0,0.0,0.0,0.0,19021.0,0,0.0,0.0,0.0,188.60936154887986
DADRA AND NAGAR HAVELI,2025-02,3,0,26.0,94.0,200.0,299.0,8.666666666666666,0.0,66.66666666666667,0.0,619.0,3,206.33333333333334,103.16666666666667,103.16666666666667,188.60936154887986
DADRA AND NAGAR HAVELI,2025-03,0,0,50.0,129.0,195.0,230.0,0.0,0.0,0.0,0.0,604.0,0,0.0,68.77777777777779,-68.77777777777779,188.60936154887986
DADRA AND NAGAR HAVELI,2025-04,1,0,48.0,145.0,184.0,211.0,48.0,0.0,184.0,0.0,588.0,1,588.0,264.77777777777777,323.22222222222223,188.60936154887986
DADRA AND NAGAR HAVELI,2025-05,0,0,56.0,56.0,105.0,142.0,0.0,0.0,0.0,0.0,359.0,0,0.0,196.0,-196.0,188.60936154887986
DADRA AND NAGAR HAVELI,2025-06,1,0,110.0,172.0,109.0,105.0,110.0,0.0,109.0,0.0,496.0,1,496.0,361.3333333333333,134.66666666666669,188.60936154887986
DADRA AND NAGAR HAVELI,2025-07,1,0,48.0,81.0,87.0,133.0,48.0,0.0,87.0,0.0,349.0,1,349.0,281.6666666666667,67.33333333333331,188.60936154887986
DADRA AND NAGAR HAVELI,2025-08,2,1,45.0,239.0,209.0,217.0,22.5,239.0,104.5,217.0,710.0,3,236.66666666666666,360.5555555555556,-123.88888888888894,188.60936154887986
DADRA AND NAGAR HAVELI,2025-09,3,0,41.0,117.0,214.0,229.0,13.666666666666666,0.0,71.33333333333333,0.0,601.0,3,200.33333333333334,262.0,-61.66666666666666,188.60936154887986
DADRA AND NAGAR HAVELI,2025-10,7,0,20.0,99.0,207.0,221.0,2.857142857142857,0.0,29.571428571428573,0.0,547.0,7,78.14285714285714,171.7142857142857,-93.57142857142856,188.60936154887986
DADRA AND NAGAR HAVELI,2025-11,2,0,47.0,131.0,299.0,281.0,23.5,0.0,149.5,0.0,758.0,2,379.0,219.15873015873015,159.84126984126985,188.60936154887986
DADRA AND NAGAR HAVELI,2025-12,2,1,42.0,142.0,363.0,290.0,21.0,142.0,181.5,290.0,837.0,3,279.0,245.38095238095238,33.61904761904762,188.60936154887986
DADRA AND NAGAR HAVELI,NaT,49,2,551.0,1706.0,2519.0,3003.0,11.244897959183673,853.0,51.40816326530612,1501.5,7779.0,51,152.52941176470588,270.1764705882353,-117.64705882352942,188.60936154887986
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-01,1,0,74.0,803.0,607.0,1469.0,74.0,0.0,607.0,0.0,2953.0,1,2953.0,2953.0,0.0,838.5897745156078
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-02,0,0,11.0,95.0,9.0,11.0,0.0,0.0,0.0,0.0,126.0,0,0.0,1476.5,-1476.5,838.5897745156078
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-03,0,1,9.0,103.0,15.0,11.0,0.0,103.0,0.0,11.0,138.0,1,138.0,1030.3333333333333,-892.3333333333333,838.5897745156078
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-04,2,0,1.0,78.0,4.0,13.0,0.5,0.0,2.0,0.0,96.0,2,48.0,62.0,-14.0,838.5897745156078
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-05,0,1,2.0,80.0,3.0,15.0,0.0,80.0,0.0,15.0,100.0,1,100.0,95.33333333333333,4.666666666666671,838.5897745156078
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-06,3,0,17.0,166.0,4.0,12.0,5.666666666666667,0.0,1.3333333333333333,0.0,199.0,3,66.33333333333333,71.44444444444444,-5.111111111111114,838.5897745156078
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-08,0,0,5.0,129.0,4.0,14.0,0.0,0.0,0.0,0.0,152.0,0,0.0,55.444444444444436,-55.444444444444436,838.5897745156078
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-09,3,0,2.0,88.0,5.0,18.0,0.6666666666666666,0.0,1.6666666666666667,0.0,113.0,3,37.666666666666664,34.666666666666664,3.0,838.5897745156078
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-10,0,0,10.0,118.0,5.0,6.0,0.0,0.0,0.0,0.0,139.0,0,0.0,12.555555555555555,-12.555555555555555,838.5897745156078
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2025-11,3,2,4.0,78.0,8.0,15.0,1.3333333333333333,39.0,2.6666666666666665,7.5,105.0,5,21.0,19.555555555555554,1.4444444444444464,838.5897745156078
